access_category_id,access_category_name,access_category_description,customer_id,access_category_page_views,access_category_unique_visitors,access_category_bounce_rate,access_category_average_time_on_page,access_category_conversion_rate,access_category_revenue_contribution,access_category_status
1,Home,Access to the website's home page,1,5236,1560,0.15,120,0.08,1256.78,Active
2,Products,Access to the product catalog pages,2,3948,1234,0.22,90,0.12,2187.35,Active
3,About Us,Access to the company's about us page,3,1879,782,0.3,70,0.05,478.92,Active
4,Contact,Access to the contact form and information,4,2416,990,0.18,60,0.07,695.42,Active
5,Blog,Access to the company blog pages,5,3721,1123,0.25,100,0.09,885.65,Active
6,Home,Access to the website's home page,6,4782,1439,0.18,110,0.1,1685.21,Active
7,Products,Access to the product catalog pages,7,4210,1374,0.2,85,0.14,2650.12,Active
8,About Us,Access to the company's about us page,8,1654,701,0.28,65,0.06,587.32,Active
9,Contact,Access to the contact form and information,9,2122,875,0.22,55,0.08,845.98,Active
10,Blog,Access to the company blog pages,10,3298,1035,0.27,95,0.11,1025.78,Active
11,Home,Access to the website's home page,11,6354,1789,0.12,130,0.13,2354.89,Active
12,Products,Access to the product catalog pages,12,5623,1624,0.15,92,0.16,3210.54,Active
13,About Us,Access to the company's about us page,13,2104,823,0.22,72,0.07,712.45,Active
14,Contact,Access to the contact form and information,14,2696,1015,0.18,60,0.09,1021.67,Active
15,Blog,Access to the company blog pages,15,4587,1245,0.22,105,0.12,1245.32,Active
16,Home,Access to the website's home page,16,5867,1679,0.14,125,0.11,2145.78,Active
17,Products,Access to the product catalog pages,17,5045,1543,0.17,89,0.15,3011.23,Active
18,About Us,Access to the company's about us page,18,1842,754,0.24,68,0.06,632.89,Active
19,Contact,Access to the contact form and information,19,2377,932,0.2,58,0.08,956.12,Active
20,Blog,Access to the company blog pages,20,4089,1156,0.24,100,0.1,1154.67,Active
21,Home,Access to the website's home page,21,5325,1556,0.16,120,0.12,1956.34,Active
22,Products,Access to the product catalog pages,22,4537,1433,0.19,86,0.13,2798.78,Active
23,About Us,Access to the company's about us page,23,1664,688,0.26,65,0.07,578.23,Active
24,Contact,Access to the contact form and information,24,2145,854,0.22,56,0.09,887.89,Active
25,Blog,Access to the company blog pages,25,3698,1067,0.26,95,0.11,1065.43,Active
26,Home,Access to the website's home page,26,5351,1578,0.15,122,0.09,1289.45,Active
27,Products,Access to the product catalog pages,27,4028,1251,0.21,92,0.13,2345.67,Active
28,About Us,Access to the company's about us page,28,1765,726,0.32,68,0.06,412.89,Active
29,Contact,Access to the contact form and information,29,2283,912,0.19,57,0.08,632.78,Active
