sale_id,customer_id,product_id,sale_date,sale_quantity,sale_amount,sale_discount,sale_tax,sale_payment_method,sale_status,sale_notes
1,1,1,1/1/2022,2,100.5,0,8.04,Credit Card,Completed,"Large order, good customer"
2,2,2,2/15/2022,1,75.25,5,5.42,Cash,Completed,Repeat customer
3,3,3,4/10/2022,3,150.75,0,12.06,Debit Card,Completed,Bulk purchase
4,4,4,3/5/2022,1,85,0,6.8,Credit Card,Completed,New customer
5,5,5,6/20/2022,2,120,10,8.4,Cash,Completed,Larger order
6,6,6,9/12/2022,1,65.5,0,5.24,Debit Card,Completed,Repeat purchase
7,7,7,2/18/2022,1,90.75,0,7.26,Credit Card,Completed,Good sale
8,8,8,5/1/2022,2,110.25,0,8.82,Cash,Completed,Bulk order
9,9,9,8/27/2022,1,80,5,5.76,Debit Card,Completed,Loyal customer
10,10,10,1/22/2022,1,95.5,0,7.64,Credit Card,Completed,New customer
11,11,11,4/8/2022,2,125.75,0,10.06,Cash,Completed,Large order
12,12,12,7/14/2022,1,70,10,4.9,Debit Card,Completed,Repeat purchase
13,13,13,3/11/2022,1,105.25,0,8.42,Credit Card,Completed,Good sale
14,14,14,6/5/2022,2,115.5,5,9.24,Cash,Completed,Larger order
15,15,15,10/2/2022,1,85.75,0,6.86,Debit Card,Completed,Loyal customer
16,16,16,2/23/2022,1,90,0,7.2,Credit Card,Completed,New customer
17,17,17,5/19/2022,2,130.25,0,10.42,Cash,Completed,Large order
18,18,18,9/8/2022,1,75.5,5,5.44,Debit Card,Completed,Repeat purchase
19,19,19,1/28/2022,1,100.75,0,8.06,Credit Card,Completed,Good sale
20,20,20,4/13/2022,2,120,0,9.6,Cash,Completed,Larger order
21,21,21,7/29/2022,1,85.25,10,5.97,Debit Card,Completed,Loyal customer
22,22,22,3/2/2022,1,95.5,0,7.64,Credit Card,Completed,New customer
23,23,23,6/25/2022,2,110.75,0,8.86,Cash,Completed,Large order
24,24,24,10/16/2022,1,80,5,5.76,Debit Card,Completed,Repeat purchase
25,25,25,2/9/2022,1,85,0,6.8,Credit Card,Completed,Good sale
26,26,26,5/24/2022,2,125.25,0,10.02,Cash,Completed,Larger order
27,27,27,8/18/2022,1,95.75,0,7.66,Debit Card,Completed,Loyal customer
28,28,28,1/17/2022,1,100.5,0,8.04,Credit Card,Completed,New customer
29,29,29,4/3/2022,2,115.75,0,9.26,Cash,Completed,Large order
30,30,30,7/21/2022,1,90,10,6.3,Debit Card,Completed,Repeat purchase
31,31,31,3/14/2022,1,105.25,0,8.42,Credit Card,Completed,Good sale
32,32,32,6/10/2022,2,120.5,5,9.64,Cash,Completed,Larger order
33,33,33,9/23/2022,1,80.75,0,6.46,Debit Card,Completed,Loyal customer
34,34,34,2/4/2022,1,90,0,7.2,Credit Card,Completed,New customer
35,35,35,5/29/2022,2,135.25,0,10.82,Cash,Completed,Large order
36,36,36,8/13/2022,1,75.5,5,5.44,Debit Card,Completed,Repeat purchase
37,37,37,1/24/2022,1,100.75,0,8.06,Credit Card,Completed,Good sale
38,38,38,4/18/2022,2,115,0,9.2,Cash,Completed,Larger order
39,39,39,7/24/2022,1,90.25,10,6.32,Debit Card,Completed,Loyal customer
40,40,40,3/7/2022,1,95.5,0,7.64,Credit Card,Completed,New customer
41,41,41,6/20/2022,2,125.75,0,10.06,Cash,Completed,Large order
42,42,42,10/11/2022,1,85,5,6.12,Debit Card,Completed,Repeat purchase
43,43,43,2/14/2022,1,85,0,6.8,Credit Card,Completed,Good sale
44,44,44,5/9/2022,2,130.25,0,10.42,Cash,Completed,Larger order
45,45,45,8/23/2022,1,90.75,0,7.26,Debit Card,Completed,Loyal customer
46,46,46,1/13/2022,1,100.5,0,8.04,Credit Card,Completed,New customer
47,47,47,4/8/2022,2,110.75,0,8.86,Cash,Completed,Large order
48,48,48,7/16/2022,1,95,5,7.15,Debit Card,Completed,Repeat purchase
49,49,49,3/19/2022,1,105.25,0,8.42,Credit Card,Completed,Good sale
50,50,50,6/5/2022,2,120.5,5,9.64,Cash,Completed,Larger order
51,51,,9/18/2022,1,85.75,0,6.86,Debit Card,Completed,Loyal customer
52,52,,2/1/2022,1,90,0,7.2,Credit Card,Completed,New customer
53,53,,5/24/2022,2,140.25,0,11.22,Cash,Completed,Large order
54,54,,8/8/2022,1,80.5,5,5.78,Debit Card,Completed,Repeat purchase
55,55,,1/20/2022,1,100.75,0,8.06,Credit Card,Completed,Good sale
56,56,,4/13/2022,2,110,0,8.8,Cash,Completed,Larger order
57,57,,7/29/2022,1,95.25,10,6.67,Debit Card,Completed,Loyal customer
58,58,,3/2/2022,1,95.5,0,7.64,Credit Card,Completed,New customer
59,59,,6/25/2022,2,130.75,0,10.46,Cash,Completed,Large order
60,60,,10/16/2022,1,80,5,5.76,Debit Card,Completed,Repeat purchase
61,61,,11/1/2022,1,85,0,6.8,Credit Card,Completed,New customer
62,62,,1/15/2023,2,125.5,0,10.04,Cash,Completed,Larger order
63,63,,12/7/2022,1,90,0,7.2,Debit Card,Completed,Repeat purchase
64,64,,3/20/2023,2,160,10,11.2,Credit Card,Completed,Loyal customer
65,65,,2/14/2023,1,80.75,0,6.46,Cash,Completed,New customer
66,66,,5/5/2023,2,120,0,9.6,Debit Card,Completed,Larger order
67,67,,4/12/2023,1,100.25,5,7.62,Credit Card,Completed,Repeat purchase
