trend_id ,product_id, trend_date , trend_value , trend_type , trend_duration , trend_growth_rate , trend_seasonality , trend_volatility , trend_forecast , trend_analysis
1,1, 2023-01-01 ,105.3, sales ,30,0.08,0.2,0.15,110.5, Steady growth in sales with moderate seasonality and volatility. Forecast indicates continued positive trend.
2,2, 2023-01-01 ,92.7, sales ,30,0.12,0.25,0.18,99.1, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
3,3, 2023-01-01 ,1187.4, sales ,30,0.05,0.15,0.12,1250.2, Consistent sales growth with low to moderate seasonality and volatility. Forecast indicates stable performance.
4,4, 2023-01-01 ,97.5, sales ,30,0.09,0.22,0.16,105.3, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
5,5, 2023-02-01 ,108.2, sales ,30,0.07,0.18,0.14,112.4, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
6,6, 2023-02-01 ,95.4, sales ,30,0.11,0.23,0.17,102.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
7,7, 2023-02-01 ,1203.6, sales ,30,0.04,0.13,0.1,1265.1, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
8,8, 2023-02-01 ,100.1, sales ,30,0.08,0.2,0.15,108.4, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
9,9, 2023-03-01 ,110.7, sales ,30,0.06,0.16,0.13,114.1, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
10,10, 2023-03-01 ,98.2, sales ,30,0.1,0.21,0.16,105, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
11,11, 2023-03-01 ,1216.6, sales ,30,0.03,0.12,0.09,1274.7, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
12,12, 2023-03-01 ,102.4, sales ,30,0.07,0.18,0.14,110.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
13,13, 2023-04-01 ,112.9, sales ,30,0.05,0.14,0.12,115.4, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
14,14, 2023-04-01 ,100.1, sales ,30,0.09,0.19,0.15,107.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
15,15, 2023-04-01 ,1225.8, sales ,30,0.02,0.1,0.08,1280.5, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
16,16, 2023-04-01 ,104.6, sales ,30,0.06,0.16,0.13,113, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
17,17, 2023-05-01 ,114.8, sales ,30,0.04,0.12,0.11,116.5, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
18,18, 2023-05-01 ,101.8, sales ,30,0.08,0.17,0.14,109.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
19,19, 2023-05-01 ,1232.6, sales ,30,0.01,0.09,0.07,1284.2, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
20,20, 2023-05-01 ,106.3, sales ,30,0.05,0.14,0.12,114.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
21,21, 2023-06-01 ,116.3, sales ,30,0.03,0.1,0.1,117.4, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
22,22, 2023-06-01 ,103.1, sales ,30,0.07,0.15,0.13,111, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
23,23, 2023-06-01 ,1237.9, sales ,30,0.01,0.08,0.06,1286.6, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
